[user33@node1 job3]$ cat 20M_output/part-00000 | column -ts $'\t'
['2016:+1%', '2017:-1%', '2018:+3%']  COMSTOCK RESOURCES, INC.                     KAYNE ANDERSON ENERGY DEVELOPMENT COMPANY
['2016:-1%', '2017:+4%', '2018:-1%']  GAP, INC. (THE)                              LAKELAND INDUSTRIES, INC.
['2016:+1%', '2017:+1%', '2018:+1%']  BLACK KNIGHT, INC.                           POWERSHARES S&P SMALLCAP CONSUMER DISCRETIONARY PORTFOLIO
['2016:+1%', '2017:+2%', '2018:-9%']  BROOKFIELD RENEWABLE PARTNERS L.P.           INVESCO MORTGAGE CAPITAL INC
['2016:+1%', '2017:+9%', '2018:-1%']  HERSHEY COMPANY (THE)                        SPECTRUM BRANDS HOLDINGS, INC.
['2016:-2%', '2017:+7%', '2018:+4%']  COVANTA HOLDING CORPORATION                  UDR, INC.
['2016:+2%', '2017:+2%', '2018:-4%']  FIRST TRUST RIVERFRONT DYNAMIC EUROPE ETF    FRESENIUS MEDICAL CARE CORPORATION
['2016:+2%', '2017:-2%', '2018:+1%']  COMMERCE BANCSHARES, INC.                    GORMAN-RUPP COMPANY (THE)
['2016:+2%', '2017:-2%', '2018:+5%']  AZZ INC.                                     WESTERN GAS PARTNERS, LP
['2016:+2%', '2017:+1%', '2018:+3%']  EATON CORPORATION, PLC                       POWERSHARES KBW BANK PORTFOLIO
['2016:+3%', '2017:+2%', '2018:-3%']  NUVEN MORTGAGE OPPORTUNITY TERM FUND 2       PRICESMART, INC.
['2016:+3%', '2017:+2%']              NVE CORPORATION                              TORCHMARK CORPORATION
['2016:-3%', '2017:+5%', '2018:+1%']  SYPRIS SOLUTIONS, INC.                       VIRTUS LIFESCI BIOTECH CLINICAL TRIALS ETF
['2016:+3%', '2017:+1%', '2018:-1%']  CENTERPOINT ENERGY, INC.                     SCORPIO BULKERS INC.
['2016:+4%', '2017:+9%', '2018:-1%']  NUVEEN DIVERSIFIED DIVIDEND AND INCOME FUND  STANTEC INC
['2016:+4%', '2017:+1%', '2018:-6%']  KELLY SERVICES, INC.                         MONMOUTH REAL ESTATE INVESTMENT CORPORATION
['2016:+6%', '2017:+1%', '2018:-3%']  AMERICA FIRST MULTIFAMILY INVESTORS, L.P.    FLEXSHARES REAL ASSETS ALLOCATION INDEX FUND
['2016:+7%', '2017:+1%', '2018:+3%']  ENTERGY CORPORATION                          OIL-DRI CORPORATION OF AMERICA
['2016:+8%', '2017:+5%', '2018:+1%']  SEMPRA ENERGY                                STORE CAPITAL CORPORATION
['2017:+0%', '2018:+1%']              HIGHLAND FLOATING RATE OPPORTUNITIES FUND    HUNTER MARITIME ACQUISITION CORP.
['2017:+1%', '2018:+1%']              ACTIVE ALTS CONTRARIAN ETF                   AVISTA HEALTHCARE PUBLIC ACQUISITION CORP.
['2017:+1%', '2018:+1%']              AVISTA HEALTHCARE PUBLIC ACQUISITION CORP.   PRINCIPAL CONTRARIAN VALUE INDEX ETF
['2017:-4%', '2018:+1%']              PARK HOTELS & RESORTS INC.                   RHYTHM PHARMACEUTICALS, INC.
['2018:-1%']                          ATTIS INDUSTRIES INC.                        BILIBILI INC.
['2018:-1%']                          ATTIS INDUSTRIES INC.                        FC GLOBAL REALTY INCORPORATED
['2018:-1%']                          BILIBILI INC.                                FC GLOBAL REALTY INCORPORATED
['2018:+1%']                          CONVERGEONE HOLDINGS, INC.                   PATRIOT TRANSPORTATION HOLDING, INC.
['2018:-2%']                          CARDLYTICS, INC.                             FLAHERTY & CRUMRINE PREFERRED INCOME OPPORTUNITY FUND INC
